Category,Item Name,Selection/Gauge,CSMBS (THB),SSS (THB),UCS (THB),Notes
Surgical Tool,Knife-15 degree (Mani),-,220,220,220,
Surgical Tool,Slit Knife,-,0,0,0,
Surgical Tool,Crescent Bevel Up 2.3 mm,-,325,325,325,
Surgical Tool,Iris Retractors,-,1565,1565,1565,Reusable
Surgical Tool,ILM Forcep Tip,-,3600,6300,6300,Reusable (0 if Reused)
Surgical Tool,Microscissors,-,3600,6300,6300,Reusable (0 if Reused)
Surgical Tool,Ocublue 0.05% (BBG Solution),-,910,910,910,
Surgical Tool,Oxane Silicone Oil,-,400,400,400,
Surgical Tool,Oxane HD (Heavy Oil),-,8500,8500,8500,
Surgical Tool,Endolaser,-,2500,2500,2500,
Surgical Tool,Soft Tip,-,514,514,514,
Surgical Tool,Punch & Trephine,-,0,0,0,
Surgical Tool,5FU,-,0,0,0,
Surgical Tool,Fibrin glue,-,0,0,0,
Phaco Machine,Centurion Machine,-,2140,2140,2140,
Phaco Machine,Legeon Machine,-,0,0,0,
Vitrectomy Set,Constellation,23G/25G,2150,2150,2150,
Vitrectomy Set,Stellaris,23G/25G,1500,1500,1500,
Glaucoma Device,Xen Glaucoma gel Implant,-,17785,19785,19785,
Glaucoma Device,Ahmed Glaucoma Valve,-,1660,1660,1660,
Glaucoma Device,Preserflo Microshunt,-,23061,25061,25061,
Glaucoma Device,Express GFD / Alcon,-,8190,10190,10190,
Glaucoma Device,Glaucoma shunt AADI,-,0,0,0,
IOL,SA 60 WF IOL / Alcon,Monofocal,0,0,2800,Sale Price: 2800
IOL,SN 60 WF IOL Alcon,Monofocal,0,0,2800,Sale Price: 2800
IOL,AR 40 Intraocular Len JJ,Monofocal,0,0,2800,Sale Price: 2800
IOL,CT Lucia 621P / Zeiss,Monofocal,0,0,2800,Sale Price: 2800
IOL,Tecnis Optiblue GCB00V,Monofocal,0,0,2800,Sale Price: 2800
IOL,Akross Adapt IOL,Monofocal,0,0,2800,Sale Price: 2800
IOL,Tecnis DCB00 IOL,Monofocal,2220,2220,5020,Sale Price: 5020
IOL,AVANSEE 1 Piece [Red],Monofocal,2220,2220,5020,Sale Price: 5020
IOL,Clareon IOL / Alcon,Monofocal,2860,2860,5660,Sale Price: 5660
IOL,AVANSEE 3 Pieces [Clear],Monofocal,345,345,3145,Sale Price: 3145
IOL,MA 60 MA IOL / Alcon,Monofocal,1970,1970,4770,Sale Price: 4770
IOL,Eye-O-Care SF65 PMMA (Hard),Monofocal,60,60,760,Sale Price: 760
IOL,Lentis Quantum IOL,Monofocal,4965,4965,7765,Sale Price: 7765
IOL,Tecnis ZCT Toric IOL / JJ,Monofocal Toric,12700,12700,15500,Sale Price: 15500
IOL,Tecnis Eyhance ICB IOL / JJ,EDOF,3700,3700,6500,Sale Price: 6500
IOL,Tecnis Eyhance Toric DIU000,EDOF,13220,13220,16020,Sale Price: 16020
IOL,Acrysof IQ Vivity IOL,EDOF,27300,27300,30100,Sale Price: 30100
IOL,Acrysof IQ Vivity Toric IOL,EDOF,35520,35520,38320,Sale Price: 38320
IOL,Tecnis ZXR00 Multifocal,Multifocal,28060,28060,30860,Sale Price: 30860
IOL,Arriva Trinova RX,Multifocal,28100,28100,30900,Sale Price: 30900
IOL,Tecnis Synergy DFW 00 / JJ,Multifocal,32465,32465,35265,Sale Price: 35265
IOL,AT Lisa 839 MP Zeiss,Multifocal,24800,24800,27600,Sale Price: 27600
IOL,AT Lara 829 Zeiss,Multifocal,17070,17070,19870,Sale Price: 19870
IOL,AT Torbi 709MP Zeiss,Multifocal,13800,13800,16600,Sale Price: 16600
IOL,Tecnis Synergy ZFR00V JJ,Multifocal,24800,28060,27600,Sale Price: 27600
IOL,Clareon Panoptix [CNWTT0],Multifocal Toric,29380,29380,32180,Sale Price: 32180
IOL,Clareon Panoptic Toric [CNWTT2-6],Multifocal Toric,38200,38200,41000,Sale Price: 41000
IOL,AT Lisa Tri Toric 939MP Zeiss,Multifocal Toric,41300,41300,44100,Sale Price: 44100
IOL,Tecnis Symfony ZXT00 Toric JJ,Multifocal Toric,30300,30300,33100,Sale Price: 33100
